;nofiness;rs;rslongue;complrs;numvoie;typvoie;voie;compvoie;compldistrib;lieuditbp;commune;ligneacheminement;departement;libdepartement;telephone;statutjuridique;libstatutjuridique;categetab;libcategetab;siren;codeape;datecrea
structureej;10000438;EHPAD ST TRIVIER DE COURTES;;;17;RTE;DE SERVIGNAT;;;;388;01560 ST TRIVIER DE COURTES;1;AIN;474307044;21;Etablissement Social et Médico-Social Communal;;;260100243;8730A;01/01/2001
structureej;10000446;EHPAD LES SAULAIES;EHPAD LES SAULAIES;;119;PL;DE L'EGLISE;;;;389;01990 ST TRIVIER SUR MOIGNANS;1;AIN;474558068;21;Etablissement Social et Médico-Social Communal;;;260100250;8710A;01/01/2001
structureej;10000453;EHPAD LA MAISON A SOIE;EHPAD LA MAISON A SOIE;;2;CHE;DE LA SOIE;;;;416;01230 TENAY;1;AIN;474365900;21;Etablissement Social et Médico-Social Communal;;;260100268;8710A;01/01/2001
structureej;10000487;MAISON DE RETRAITE DE PONT D'AIN;MAISON DE RETRAITE DE PONT D'AIN;;;R;CATHERINETTE;;;;304;01160 PONT D AIN;1;AIN;474390575;21;Etablissement Social et Médico-Social Communal;;;260100193;8710A;01/01/2001
structureej;10000545;ASSO LE BON REPOS BOURG-EN-BRESSE;ASSOCIATION LE BON REPOS BOURG-EN-BRESSE;;1070;CHE;DES CARRONNIERES;;;;289;01960 PERONNAS;1;AIN;474327710;61;Association Loi 1901 Reconnue d'Utilité Publique;;;779309210;8710A;01/01/2001
structureej;10000594;LYCEE PROFESSIONNEL MARCELLE PARDE;LYCEE PROFESSIONNEL MARCELLE PARDE;;47;AV;ALSACE LORRAINE;;;;53;01000 BOURG EN BRESSE;1;AIN;474327675;26;Autre Etablissement Public à Caractère Administratif;;;190100214;8532Z;16/02/1997
structureej;10000602;INSTITUTION JOSEPHINE GUILLON;INSTITUTION JOSEPHINE GUILLON;;80;AV;JOSEPHINE GUILLON;;;;249;01700 MIRIBEL;1;AIN;478557628;60;Association Loi 1901 non Reconnue d'Utilité Publique;;;779346782;;01/01/2001
structureej;10000628;ASS ASDOMI BOURG-EN-BRESSE;ASS DE MAINTIEN ET DE SOINS A DOMICILE DE BOURG-EN-BRESSE;;1653;RTE;DE MAJORNAS;;;;451;01440 VIRIAT;1;AIN;474226887;60;Association Loi 1901 non Reconnue d'Utilité Publique;;;330674680;;01/01/2001
structureej;10000735;ASS ADAPA;ASSOCIATION DEPARTEMENTALE D'AIDE AUX PERSONNES DE L'AIN;;4;R;TONY FERRET;;;;53;01004 BOURG EN BRESSE CEDEX;1;AIN;474455170;60;Association Loi 1901 non Reconnue d'Utilité Publique;;;779311448;8899B;01/01/2001
structureej;10000925;ASS ATMP BOURG-EN-BRESSE;ASSOCIATION TUTELAIRE DES MAJEURS PROTEGES;;274;AV;SAN SEVERO;;;;53;01000 BOURG EN BRESSE;1;AIN;474327575;60;Association Loi 1901 non Reconnue d'Utilité Publique;;;304581416;8899B;01/01/2001
structureej;10000974;SA CHATEAU DE VERNANGE;;ST ANDRE DE CORCY;;RTE;DE MONTHIEUX;;;;333;01390 ST ANDRE DE CORCY;1;AIN;472261616;73;Société Anonyme (S.A.);;;339710733;8710A;01/01/2001
structureej;10001022;MAPA PLEIN SOLEIL LHUIS;MAPA PLEIN SOLEIL LHUIS;;;;;;;SAINT MARTIN;216;01680 LHUIS;1;AIN;474398588;21;Etablissement Social et Médico-Social Communal;;;260104526;8710A;01/01/1991
structureej;10001063;MAPA CLAIRES FONTAINES SAINT VULBAS;MAPA CLAIRES FONTAINES SAINT VULBAS;;;R;CLAIRES FONTAINES;;;;390;01150 ST VULBAS;1;AIN;;21;Etablissement Social et Médico-Social Communal;;;260104518;8710A;05/05/1989
structureej;10001113;ASS ATELIER PROTEGE ST RAMBERT;ASS DE GESTION DE L'ATELIER PROTEGE ST RAMBERT EN BUGEY;;11;;QUAI LUCIEN FRANC;;;;384;01230 ST RAMBERT EN BUGEY;1;AIN;474362631;60;Association Loi 1901 non Reconnue d'Utilité Publique;;;351473251;8810C;01/01/2001
structureej;10001154;RESIDENCE CAMILLE CORNIER;RESIDENCE CAMILLE CORNIER;;;RTE;DE NANTUA;;;;72;01250 CEYZERIAT;1;AIN;474250490;60;Association Loi 1901 non Reconnue d'Utilité Publique;;;390533719;;01/01/2001
structureej;10001352;ASS GEST DE LA MARPA - MONTRACOL;;LA VALETTE;;;;;;;264;01310 MONTRACOL;1;AIN;;60;Association Loi 1901 non Reconnue d'Utilité Publique;;;403119704;8730A;01/01/2001
structureej;10001725;LABM CROIX BLANCHE;LABM CROIX BLANCHE;;51;AV;A. MERCIER;;;;53;01000 BOURG EN BRESSE;1;AIN;474452636;91;Société Exercice Libéral par Actions Simplifiée (S.E.L.A.S.);;;341522290;;06/10/2025
structureej;10002277;NOUVELLE PHARMACIE DU CHAMP DE MARS;NOUVELLE PHARMACIE DU CHAMP DE MARS;;9;R;ALEXANDRE BERARD;;;;4;01500 AMBERIEU EN BUGEY;1;AIN;474380226;91;Société Exercice Libéral par Actions Simplifiée (S.E.L.A.S.);;;893939983;;10/08/1942
structureej;10002293;GRANDE PHARMACIE D'AMBERIEU CENTRE;GRANDE PHARMACIE D'AMBERIEU CENTRE;;39;R;ALEXANDRE BERARD;;;;4;01500 AMBERIEU EN BUGEY;1;AIN;474350415;91;Société Exercice Libéral par Actions Simplifiée (S.E.L.A.S.);;;892488826;;12/03/2021
structureej;10002327;PHARMACIE ORSET;PHARMACIE ORSET;;625;AV;LEON BLUM;;;;4;01500 AMBERIEU EN BUGEY;1;AIN;474380065;71;Société en Nom Collectif (S.N.C.);;;409526704;;02/08/2012
structureej;10002343;PHARMACIE DE LA GARE;PHARMACIE DE LA GARE;;68;AV;ROGER SALENGRO;;;;4;01500 AMBERIEU EN BUGEY;1;AIN;474468146;91;Société Exercice Libéral par Actions Simplifiée (S.E.L.A.S.);;;340555879;;22/11/1985
structureej;10002376;PHARMACIE TRAN;PHARMACIE TRAN;;;RTE;DE LA MAIRIE;;;;5;01330 AMBERIEUX EN DOMBES;1;AIN;474008311;72;Société A Responsabilité Limitée (S.A.R.L.);;;838445286;;13/10/2005
structureej;10002392;PHARMACIE D'AMBRONAY;PHARMACIE D'AMBRONAY;;112;;Grand Rue;;;;7;01500 AMBRONAY;1;AIN;474381803;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;803684679;;17/05/2016
structureej;10002426;PHARMACIE GROSS;PHARMACIE GROSS;;;RTE;DE DORTAN;;;;14;01100 ARBENT;1;AIN;474773819;72;Société A Responsabilité Limitée (S.A.R.L.);;;802638486;;14/11/2018
structureej;10002442;SELARL TONY MENU;SELARL TONY MENU;;310;R;Jean Marie Vianney;;;;21;01480 ARS SUR FORMANS;1;AIN;474007732;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;849124318;;14/06/2012
structureej;10002475;PHARMACIE ARTEMARE;PHARMACIE ARTEMARE;;24;R;DE SAVOIE;;;;22;01510 ARTEMARE;1;AIN;479873005;91;Société Exercice Libéral par Actions Simplifiée (S.E.L.A.S.);;;895265692;;19/08/2003
structureej;10002491;PHARMACIE M. BARDET;PHARMACIE M. BARDET;;568;;GRANDE RUE;;;;24;01340 ATTIGNAT;1;AIN;474309060;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;497646117;;21/05/1979
structureej;10002525;PHARMACIE DUPARCHY;PHARMACIE DUPARCHY;;300;RTE;de Montrevel;;;La Griffonnière;25;01380 BAGE DOMMARTIN;1;AIN;385304167;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;491335808;;01/02/2007
structureej;10002541;PHARMACIE DOUCELANCE;PHARMACIE DOUCELANCE;;3;PL;DES ARCADES;;;;31;01100 BELLIGNAT;1;AIN;474737916;72;Société A Responsabilité Limitée (S.A.R.L.);;;529032930;;05/07/1991
structureej;10002574;PHARMACIE SCRIVE;PHARMACIE SCRIVE;;87;RTE;DE GENEVE;;;LA VALBONNE;32;01360 BELIGNEUX;1;AIN;478062147;72;Société A Responsabilité Limitée (S.A.R.L.);;;832065767;;09/06/2005
structureej;10002590;PHARMACIE DU CREDO;PHARMACIE DU CREDO;;2;AV;mal de lattre de tassigny;;;;33;01200 VALSERHONE;1;AIN;450482726;91;Société Exercice Libéral par Actions Simplifiée (S.E.L.A.S.);;;452529795;;10/11/2010
structureej;10002624;PHARMACIE DEBOVE;PHARMACIE DEBOVE;;40;R;de la République;;;;33;01200 VALSERHONE;1;AIN;450482806;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;477577647;;23/04/2021
structureej;10002640;PHARMACIE MANNIER;PHARMACIE MANNIER;;20;R;PARMENTIER;;;;33;01200 VALSERHONE;1;AIN;450482338;71;Société en Nom Collectif (S.N.C.);;;344970025;;10/08/1942
structureej;10002665;PHARMACIE METROP - LATHUILIERE;PHARMACIE METROP - LATHUILIERE;;69;R;DE LA REPUBLIQUE;;;;33;01200 VALSERHONE;1;AIN;450480733;91;Société Exercice Libéral par Actions Simplifiée (S.E.L.A.S.);;;845106475;;13/09/2016
structureej;10002681;PHARMACIE  PELLEGRINI-WERLE;PHARMACIE  PELLEGRINI-WERLE;;25;R;DE LA REPUBLIQUE;;;;33;01200 VALSERHONE;1;AIN;450560452;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;477577647;;29/06/2006
structureej;10002715;PHARMACIE  CAVAGNA;PHARMACIE  CAVAGNA;;61;;GRANDE RUE;;;;34;01300 BELLEY;1;AIN;479810035;91;Société Exercice Libéral par Actions Simplifiée (S.E.L.A.S.);;;797489408;;10/08/1942
structureej;10002731;PHARMACIE GALENUS;PHARMACIE GALENUS;;1;R;DE LA REPUBLIQUE;;;;34;01300 BELLEY;1;AIN;479810019;72;Société A Responsabilité Limitée (S.A.R.L.);;;347664351;;27/04/1990
structureej;10002764;GRANDE PHARMACIE DES TERREAUX;GRANDE PHARMACIE DES TERREAUX;;511;AV;Charles de Gaulle;;;;34;01300 BELLEY;1;AIN;;91;Société Exercice Libéral par Actions Simplifiée (S.E.L.A.S.);;;545620015;;07/03/2023
structureej;10002780;PHARMACIE  LLAURENS;PHARMACIE  LLAURENS;;2;BD;DE VERDUN;;;;34;01300 BELLEY;1;AIN;479812770;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;441423761;;31/07/1963
structureej;10002814;PHARMACIE DE BEYNOST;PHARMACIE DE BEYNOST;;5;PL;DE LA DOMBE;;;;43;01700 BEYNOST;1;AIN;472258179;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;433615846;;06/10/2008
structureej;10002830;PHARMACIE BLANC - JODART;PHARMACIE BLANC - JODART;;55;R;DE LA MEULE;;;;49;01120 LA BOISSE;1;AIN;478060197;71;Société en Nom Collectif (S.N.C.);;;432812634;;24/10/2016
structureej;10002913;PHARMACIE DE LA CROIX BLANCHE;PHARMACIE DE LA CROIX BLANCHE;;41;AV;AMEDEE MERCIER;;;;53;01000 BOURG EN BRESSE;1;AIN;474222422;91;Société Exercice Libéral par Actions Simplifiée (S.E.L.A.S.);;;490654688;;03/08/2016
structureej;10002947;PHARMACIE SIMONIN;PHARMACIE SIMONIN;;68;AV;DE PARME;;;;53;01000 BOURG EN BRESSE;1;AIN;474233079;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;519030571;;06/12/2017
structureej;10002962;PHARMACIE CALMELS;PHARMACIE CALMELS;;146;BD;DE BROU;;;;53;01000 BOURG EN BRESSE;1;AIN;474222052;70;Personne Physique;;;301196499;;31/10/1988
structureej;10002996;PHARMACIE DES ARCADES;PHARMACIE DES ARCADES;;18;R;GAMBETTA;;;;53;01000 BOURG EN BRESSE;1;AIN;474235473;91;Société Exercice Libéral par Actions Simplifiée (S.E.L.A.S.);;;824871446;;10/08/1942
structureej;10003010;PHARMACIE BERTILLOT-RUMIANO;PHARMACIE BERTILLOT-RUMIANO;;17;BD;IRENE JOLIOT CURIE;;;;53;01000 BOURG EN BRESSE;1;AIN;474452681;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;513467852;;09/12/1965
structureej;10003028;ASSOCIATION VIVRE EN VILLE 01 UNAFAM;ASSOCIATION VIVRE EN VILLE 01 UNAFAM;;14;R;DE LA GRENOUILLRE;;;;53;01000 BOURG EN BRESSE;1;AIN;474224967;60;Association Loi 1901 non Reconnue d'Utilité Publique;;;449699966;9499Z;11/08/2003
structureej;10003044;PHARMACIE BOURGEOIS;PHARMACIE BOURGEOIS;;3;AV;JEAN JAURES;;;;53;01000 BOURG EN BRESSE;1;AIN;474213593;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;838777183;;09/01/1950
structureej;10003077;PHARMACIE HERRIOT;PHARMACIE HERRIOT;;7;R;du pont des chèvres;;;;53;01000 BOURG EN BRESSE;1;AIN;474223106;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;501165336;;22/04/2025
structureej;10003093;PHARMACIE DU MARCHE;PHARMACIE DU MARCHE;;35;AV;MAGINOT;;;;53;01000 BOURG EN BRESSE;1;AIN;474232331;91;Société Exercice Libéral par Actions Simplifiée (S.E.L.A.S.);;;405380569;;04/07/1961
structureej;10003143;PHARMACIE DES VENNES;PHARMACIE DES VENNES;;14;R;MOLIERE;;;;53;01000 BOURG EN BRESSE;1;AIN;474212019;72;Société A Responsabilité Limitée (S.A.R.L.);;;879264448;;25/05/1967
structureej;10003176;SELAS PHARMACIE DU CARREFOUR -;SELAS PHARMACIE DU CARREFOUR -;;6;R;des prés de brou;;;;53;01000 BOURG EN BRESSE;1;AIN;474452282;91;Société Exercice Libéral par Actions Simplifiée (S.E.L.A.S.);;;513468033;;21/10/2011
structureej;10003192;PHARMACIE BARE-CALVET;PHARMACIE BARE-CALVET;;;R;DU STAND;;;;53;01000 BOURG EN BRESSE;1;AIN;474211512;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;423758440;;10/01/2001
structureej;10003242;PHARMACIE VUILLOT-DUBOZ;PHARMACIE VUILLOT-DUBOZ;;19;R;NOTRE DAME;;;;53;01000 BOURG EN BRESSE;1;AIN;474226750;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;827495532;;24/05/2017
structureej;10003275;PHARMACIE DU NORD;PHARMACIE DU NORD;;16;AV;DE MARBOZ;;;;53;01000 BOURG EN BRESSE;1;AIN;474247186;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;750707259;;03/04/2006
structureej;10003291;PHARMACIE BOUVIER;PHARMACIE BOUVIER;;;RES;DE CESSY;;;;71;01170 CESSY;1;AIN;450414060;70;Personne Physique;;;402225759;;27/06/1995
structureej;10003309;MAIRIE DE BELLIGNAT;MAIRIE DE BELLIGNAT;;10;PL;DE L'HOTEL DE VILLE;;;;31;01100 BELLIGNAT;1;AIN;474776032;3;Commune;;;210100319;8411Z;01/03/1983
structureej;10003325;PHARMACIE DELORME;PHARMACIE DELORME;;2;AV;DU REVERMONT;;;;72;01250 CEYZERIAT;1;AIN;474300061;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;497804211;;22/07/1986
structureej;10003341;PHARMACIE DE CHALAMONT;PHARMACIE DE CHALAMONT;;;PL;DU MARCHE;;;;74;01320 CHALAMONT;1;AIN;474362175;91;Société Exercice Libéral par Actions Simplifiée (S.E.L.A.S.);;;538606773;;09/12/2005
structureej;10003374;PHARMACIE DU VALROMEY;PHARMACIE DU VALROMEY;;214;;Grand Rue;;;;79;01260 CHAMPAGNE EN VALROMEY;1;AIN;479876144;91;Société Exercice Libéral par Actions Simplifiée (S.E.L.A.S.);;;882801293;;25/02/1998
structureej;10003390;SELARL PHARMACIE DE LA MICHAILLE;SELARL PHARMACIE DE LA MICHAILLE;;648;R;Aimé Bonneville;;;;33;01200 VALSERHONE;1;AIN;450597605;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;822652707;;10/10/2018
structureej;10003424;PHARMACIE COUTURIER - RATRIMOARIVONY;PHARMACIE COUTURIER - RATRIMOARIVONY;;145;AV;MARECHAL FOCH;;;;93;01400 CHATILLON SUR CHALARONNE;1;AIN;474550081;91;Société Exercice Libéral par Actions Simplifiée (S.E.L.A.S.);;;393095633;;15/12/2017
structureej;10003465;PHARMACIE  LUGINBUHL-BERNADAC;PHARMACIE  LUGINBUHL-BERNADAC;;;;GRANDE RUE;;;;108;01270 COLIGNY;1;AIN;474301154;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;488186339;;17/04/1980
structureej;10003481;PHARMACIE PRESCHEZ;PHARMACIE PRESCHEZ;;106;;Grand-rue;;;;109;01550 COLLONGES;1;AIN;450596017;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;920667318;;15/01/2014
structureej;10003515;PHARMACIE RICHARD;PHARMACIE RICHARD;;1;AV;Jean Falconnier;;;;138;01350 CULOZ;1;AIN;479870017;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;753059146;;24/07/2000
structureej;10003531;PHARMACIE DE DAGNEUX;PHARMACIE DE DAGNEUX;;1147;R;DE GENEVE;;;;142;01120 DAGNEUX;1;AIN;478062335;91;Société Exercice Libéral par Actions Simplifiée (S.E.L.A.S.);;;490662137;;28/11/2016
structureej;10003564;PHARMACIE DES BAINS;PHARMACIE DES BAINS;;31;R;DES BAINS;;;;143;01220 DIVONNE LES BAINS;1;AIN;450200057;91;Société Exercice Libéral par Actions Simplifiée (S.E.L.A.S.);;;528432040;;29/05/1942
structureej;10003580;PHARMACIE FERNOUX;PHARMACIE FERNOUX;;132;;GRANDE RUE;;;;143;01220 DIVONNE LES BAINS;1;AIN;450200093;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;523057818;;29/05/1942
structureej;10003614;PHARMACIE CHAPON;PHARMACIE CHAPON;;;R;COLONEL ROMANS PETIT;;;;148;01590 DORTAN;1;AIN;474777161;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;834229650;;01/02/1965
structureej;10003630;PHARMACIE BASSET-AMIGUES;PHARMACIE BASSET-AMIGUES;;279;RTE;de Flechères;;;;157;01480 FAREINS;1;AIN;474678715;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;833583313;;04/03/1982
structureej;10003663;PHARMACIE JOSSERAND;PHARMACIE JOSSERAND;;210;;GRANDE RUE;;;;159;01570 FEILLENS;1;AIN;385300347;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;832096051;;11/08/1965
structureej;10003697;PHARMACIE REVOL;PHARMACIE REVOL;;5;AV;VOLTAIRE;;;;160;01210 FERNEY VOLTAIRE;1;AIN;450407210;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;499118594;;09/11/1959
structureej;10003713;PHARMACIE DU LEVANT;PHARMACIE DU LEVANT;;6;CHE;DU LEVANT;;;;160;01210 FERNEY VOLTAIRE;1;AIN;450406897;91;Société Exercice Libéral par Actions Simplifiée (S.E.L.A.S.);;;502265754;;08/05/1974
structureej;10003739;MAISON FAMILIALE RURALE;;;;;LA SAULSAIE;;;;262;01120 MONTLUEL;1;AIN;478066433;60;Association Loi 1901 non Reconnue d'Utilité Publique;;;439183021;8532Z;13/09/2005
structureej;10003747;PHARMACIE DE LA POTERIE;PHARMACIE DE LA POTERIE;;;ZONE;ARTISANALE DE LA POTERIE;;;;160;01210 FERNEY VOLTAIRE;1;AIN;450409744;91;Société Exercice Libéral par Actions Simplifiée (S.E.L.A.S.);;;443059779;;12/12/1990
structureej;10003762;PHARMACIE BENDAHOU;PHARMACIE BENDAHOU;;;;;;;;173;01170 GEX;1;AIN;450415275;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;489294793;;10/05/1972
structureej;10003796;PHARMACIE ROMAND;PHARMACIE ROMAND;;;AV;DE LA GARE;;;;173;01170 GEX;1;AIN;450415404;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;833663701;;16/02/1998
structureej;10003812;SELARL PHARPAMA;SELARL PHARPAMA;;539;R;DES ENTREPRENEURS;;;;173;01170 GEX;1;AIN;450280146;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;805239100;;20/04/1993
structureej;10003846;PHARMACIE GRIZARD;PHARMACIE GRIZARD;;1;R;GUSTAVE LAMBERT;;;;179;01290 GRIEGES;1;AIN;385316390;78;Entreprise Unipersonnelle Responsabilité Limitée (E.U.R.L.);;;511360083;;28/06/1999
structureej;10003861;PHARMACIE VALLEE;PHARMACIE VALLEE;;2;R;JOSEPH VIALLAZ;;;;185;01110 PLATEAU D HAUTEVILLE;1;AIN;474353007;72;Société A Responsabilité Limitée (S.A.R.L.);;;817757040;;03/04/2017
structureej;10003879;SAS UTRILLO;;;;CHE;DE LA MULATIERE;;;;339;01600 ST BERNARD;1;AIN;474001717;95;Société par Actions Simplifiée (S.A.S.);;;383354636;8710A;01/07/2005
structureej;10003895;PHARMACIE ANTUNES-BURGAT;PHARMACIE ANTUNES-BURGAT;;297;AV;DU 11 NOVEMBRE 1918;;;;185;01110 PLATEAU D HAUTEVILLE;1;AIN;474353016;72;Société A Responsabilité Limitée (S.A.R.L.);;;499706042;;10/08/1942
structureej;10003911;PHARMACIE LEFEVRE;PHARMACIE LEFEVRE;;;R;MASONOD;;;;185;01110 PLATEAU D HAUTEVILLE;1;AIN;474353012;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;479080061;;10/09/1979
structureej;10003929;ASSOCIATION DE GESTION ACCUEIL DE JOUR;;;;R;DU COLLEGE;;;;322;01600 REYRIEUX;1;AIN;474008501;60;Association Loi 1901 non Reconnue d'Utilité Publique;699;Entité Ayant Autorisation;492020037;8730A;14/09/2006
structureej;10003945;PHARMACIE MOUGIN;PHARMACIE MOUGIN;;705;;GRANDE  RUE;;;;192;01580 IZERNORE;1;AIN;474765000;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;539872291;;22/05/1995
structureej;10003960;PHARMACIE DU MARMONT;PHARMACIE DU MARMONT;;;R;DU MARMONT;;;;194;01480 JASSANS RIOTTIER;1;AIN;474608036;91;Société Exercice Libéral par Actions Simplifiée (S.E.L.A.S.);;;348348251;;22/02/1982
structureej;10003994;PHARMACIE JASSANAISE;PHARMACIE JASSANAISE;;;R;JEAN MONNET;;;;194;01480 JASSANS RIOTTIER;1;AIN;474609221;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;951155688;;23/07/1998
structureej;10004026;PHARMACIE DE JUJURIEUX;PHARMACIE DE JUJURIEUX;;;AV;DES SPORTS;;;;199;01640 JUJURIEUX;1;AIN;474368166;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;534660063;;31/01/2005
structureej;10004042;PHARMACIE CENTRALE;PHARMACIE CENTRALE;;8;R;de l'Industrie;;;;202;01150 LAGNIEU;1;AIN;;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;937879815;;16/07/2024
structureej;10004075;PHARMACIE PERDRIX-DANIERE;PHARMACIE PERDRIX-DANIERE;;3;PL;DE LA LIBERTE;;;;202;01150 LAGNIEU;1;AIN;474357599;72;Société A Responsabilité Limitée (S.A.R.L.);;;811264159;;16/07/1992
structureej;10004091;S.C.E.M;S.C.E.M;;48;RTE;DU PORT;;;;202;01150 LAGNIEU;1;AIN;474357666;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;889007639;;16/07/1992
structureej;10004141;PHARMACIE CHAPALAIN;PHARMACIE CHAPALAIN;;;PL;DE LA MAIRIE;;;;211;01240 LENT;1;AIN;474527471;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;539839514;;25/04/1992
structureej;10004174;PHARMACIE BERNARD;PHARMACIE BERNARD;;171;R;du Bugey;;;BP 55;224;01360 LOYETTES;1;AIN;478327098;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;890276553;;31/01/1972
structureej;10004190;PHARMACIE ROBERT-DUVILLIERS;PHARMACIE ROBERT-DUVILLIERS;;1318;;GRAND'ROUTE;;;;231;01570 MANZIAT;1;AIN;385361415;85;Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.);;;504412578;;26/03/2009
structureej;10004224;PHARMACIE MOREY;PHARMACIE MOREY;;;R;SAINT CREPIN;;;;232;01851 MARBOZ;1;AIN;474510001;72;Société A Responsabilité Limitée (S.A.R.L.);;;513175265;;06/01/2017
